destination,season,activity,recommended_items,famous_places,recommended_apps,tips
new york,summer,sightseeing,"sunglasses,camera,light jacket,water bottle,hat","central park,times square,rockefeller center,statue of liberty,empire state building,broadway","citymapper,opentable,google maps","get metrocards,stay hydrated,book tickets online"
paris,spring,sightseeing,"comfortable shoes,umbrella,camera,light scarf","eiffel tower,louvre museum,notre-dame cathedral,arc de triomphe,champs-élysées","RATP,TheFork,Google Maps","learn basic french phrases,buy museum pass,watch for pickpockets"
london,summer,sightseeing,"umbrella,light layers,adapter,oyster card","buckingham palace,tower of london,british museum,big ben,london eye","Citymapper,OpenTable,Google Maps","use the tube,book theatre tickets in advance"
tokyo,spring,sightseeing,"comfortable shoes,portable wifi,pasmo card","tokyo skytree,senso-ji temple,shibuya crossing,shinjuku gyoen,meiji shrine","Japan Travel by Navitime,Google Translate,Suica","buy a rail pass,bow when greeting,carry cash"
rome,autumn,sightseeing,"walking shoes,camera,refillable water bottle","colosseum,roman forum,trevi fountain,pantheon,vatican city","Google Maps,TheFork,ATM Finder","book skip-the-line tickets,refill water at nasoni fountains"
sydney,summer,outdoors,"sunscreen,swimsuit,hat,sunglasses","sydney opera house,sydney harbour bridge,bondi beach,taronga zoo","TripView,OpenTable,Google Maps","climb the harbour bridge,use opal card for transport"
dubai,winter,sightseeing,"light layers,sunglasses,camera,modest clothing","burj khalifa,dubai mall,palm jumeirah,burj al arab","Careem,Google Maps,The Entertainer","dress modestly in public places,book desert safari"
kyoto,autumn,cultural exploration,"comfortable shoes,camera,light jacket","fushimi inari shrine,kiyomizu-dera,arashiyama bamboo grove,golden pavilion","Japan Travel by Navitime,Google Translate,Suica","try a tea ceremony,visit during cherry blossom season"
barcelona,summer,sightseeing,"sunscreen,swimsuit,comfortable shoes","sagrada familia,park güell,la rambla,casa batlló","Google Maps,MyTaxi,TheFork","beware of pickpockets,book attractions online"
cairo,winter,sightseeing,"sun hat,scarf,sunglasses,comfortable shoes","giza pyramid complex,egyptian museum,khan el-khalili,sphinx","Careem,Google Maps","hire a guide,be prepared to bargain"
rio de janeiro,summer,outdoors,"sunscreen,swimsuit,hat,light clothing","christ the redeemer,sugarloaf mountain,copacabana beach,ipanema beach","Google Maps,99Taxis","be cautious with valuables,learn some portuguese"
amsterdam,spring,sightseeing,"rain jacket,bicycle,comfortable shoes","van gogh museum,anne frank house,rijksmuseum,jordan district","9292,Google Maps,Bol.com","rent a bike,book museums well in advance"
venice,spring,sightseeing,"comfortable shoes,camera,map","st. mark's square,doge's palace,rialto bridge,grand canal","Google Maps,AVM Venezia","get lost in the alleyways,ride a gondola"
prague,spring,sightseeing,"comfortable shoes,camera,light jacket","prague castle,charles bridge,old town square,astronomical clock","Google Maps,Liftago","try trdelník,walk along the vitava river"
hong kong,autumn,sightseeing,"comfortable shoes,octopus card,light layers","victoria peak,star ferry,tian tan buddha,monkok","MTR Mobile,OpenRice,Google Maps","take the star ferry,enjoy dim sum"
istanbul,spring,sightseeing,"comfortable shoes,scarf (for mosques),camera","hagia sophia,blue mosque,topkapi palace,grand bazaar","BiTaksi,Google Maps","visit a traditional hamam,try turkish delight"
san francisco,summer,sightseeing,"layered clothing,camera,comfortable shoes","golden gate bridge,alcatraz island,fisherman's wharf,pier 39","Google Maps,Uber,OpenTable","wear layers,fog is common,book alcatraz early"
moscow,summer,sightseeing,"passport,camera,comfortable shoes","red square,kremlin,st. basil's cathedral,bolshoi theatre","Yandex.Maps,Yandex.Taxi,Google Translate","keep passport handy,book ballet tickets"
athens,spring,sightseeing,"sun hat,sunglasses,water bottle,comfortable shoes","acropolis,parthenon,acropolis museum,plaka district","Beat,Google Maps","start early to avoid heat and crowds"
dublin,summer,sightseeing,"rain jacket,comfortable shoes,warm layers","guinness storehouse,trinity college,temple bar,dublin castle","Google Maps,MyTaxi","enjoy a pint in a pub,take a literary tour"
vienna,winter,cultural exploration,"warm coat,scarf,gloves,formal attire","schoenbrunn palace,belvedere palace,vienna state opera,st. stephen's cathedral","ÖBB,Google Maps","attend an opera,visit christmas markets"
beijing,autumn,sightseeing,"face mask,comfortable shoes,water bottle","great wall of china,forbidden city,temple of heaven,summer palace","Baidu Maps,WeChat,DiDi","be prepared for crowds,download a vpn"
